id;start_date;end_date;language
1;2019-09-28T22:39:30;2019-09-28T15:47:47;ENGLISH
2;2019-09-29T00:09:35;2019-09-28T09:15:46;SPANISH
3;2019-09-28T19:41:40;2019-09-28T11:05:40;FRENCH
4;2019-09-28T08:53:31;2019-09-28T16:20:33;FRENCH
5;2019-09-28T17:52:10;2019-09-28T22:36:19;FRENCH
6;2019-09-29T00:09:11;2019-09-29T01:26:07;ENGLISH
7;2019-09-28T09:31:31;2019-09-28T22:12:18;FRENCH
8;2019-09-28T07:02:49;2019-09-28T15:02:58;FRENCH
9;2019-09-28T16:50:55;2019-09-29T01:15:34;FRENCH
10;2019-09-28T20:09:05;2019-09-28T17:25:20;FRENCH
